Archivo;Bytes;Estado
AR-4-ICUM-Q-C-Pr-02-F-2 Control de Niveles Topográficos.xlsx;122367;OK
AR-4-ICUM-Q-C-Pr-09-F-1 Registro de Grout.xlsx;126560;OK
AR-4-ICUM-Q-M-Pr-1-F-1 Montaje de Recipientes Horizontales.xlsx;228354;OK
AR-4-ICUM-Q-M-Pr-1-F-2 Control de Montaje de Equipos Verticales.xlsx;136106;OK
AR-4-ICUM-Q-M-Pr-1-F-5 Chequeo de montaje de Equipos Estáticos.xlsx;125867;OK
AR-4-ICUM-Q-M-Pr-4-F02 Montaje de estructuras metálicas.xlsx;123457;OK
AR-4-ICUM-Q-M-Pr-4-F03 Control Montaje de estructuras metálicas.xlsx;142702;OK
AR-4-ICUM-Q-M-Pr-4_F-01 Ctrol dimens estruct metalicas.xlsx;105566;OK
AR-4-ICUM-Q-P-Pr-11-F-1 Certificado de pruebas.xlsx;78103;OK
AR-4-ICUM-Q-P-Pr-12-F-1 Registro de Barrido, Limpieza y Secado o Inhibición.xlsx;127490;OK
AR-4-ICUM-Q-P-Pr-5-F-1 Inspección Visual en Proceso.xlsx;86560;OK
AR-4-ICUM-Q-P-Pr-6-F-1 Trazabilidad de Soldadura y de Soldadores.xlsx;89066;OK
AR-4-ICUM-Q-P-Pr-6-F-2 Pedido de Ensayos No Destructivos.xlsx;136973;OK
AR-4-ICUM-Q-P-Pr-6-F-3 Planilla de relevamiento diario.xlsx;93278;OK
AR-4-ICUM-Q-P-Pr-8-F-1 Check List de control previo y post Montaje.xlsx;183924;OK
AR-4-ICUM-Q-P-Pr-8-F-2 Verificación de Juntas y Espárragos en uniones bridadas.xlsx;121782;OK
AR-4-ICUM-Q-U-Pr-1-F-1 Registro Preparación de Superficie y Aplicación de Recubrimientos.xlsx;221241;OK
AR-4-ICUM-Z-I-Pr-1-F-1 Constatación y calibración de instrumentos.xlsx;711585;OK
AR-4.ICOG.Pr.59_Formularios Anexos_Revestimiento de Juntas Soldadas.xlsx;177291;OK
AR-5-0338-Pr-47_F-01 Registro prueba neumatica-Hidrostatica.pdf.xlsx;258642;OK
AR-5-0338-Q-I-Pr-1-F-1 Verificación de Montaje Cañeros y Conduit.xlsx;711337;OK
AR-5-0338-Q-I-Pr-1-F-2 Verificación de Montaje Bandejas Portacables.xlsx;711675;OK
AR-5-0338-Q-I-Pr-1-F-3 Verificación de Montaje Cajas de Conexión y Tableros.xlsx;711357;OK
AR-5-0338-Q-I-Pr-1-F-4 Verificación y liberación de cables Instrumentos.xlsx;712208;OK
AR-5-0338-Q-I-Pr-1-F-5 Verificación Montaje de Instrumentos.xlsx;711890;OK
AR-5.0328.Pr.22_F-01 Autorización instalar grout.xlsx;61726;OK
AR-5.0328.Pr.25_F-02 Control niveles topograficos.xlsx;62303;OK
AR-5.0328.Pr.39_F-01 Montaje Recipientes Horizontales.xls;562176;OK
AR-5.0328.Pr.39_F-02 Ctrol Montaje Equipos Verticales.xls;97792;OK
AR-5.0328.Pr.41_F-01 Preparación de superficie.xlsx;68028;OK
AR-5.0338.Pr.42_F-01 Informe de recepción de materiales y equipos.xlsx;844288;OK
AR-5.0338.Pr.42_F-02 Check List Cables Baja Tensión.xlsx;846736;OK
AR-5.0338.Pr.42_F-09 Check List Montaje Iluminación.xlsx;844558;OK
AR-5.0338.Pr.42_F-10 Chequeo Torres y Columnas de Iluminación.xlsx;844419;OK
AR-5.0338.Pr.42_F-11 Tableros Tomacorrientes de Campo.xlsx;846579;OK
AR-5.0338.Pr.42_F-12 Registro de bandeja portacable.xlsx;844456;OK
AR-5.0338.Pr.42_F-13 Verificación de inspección de motor eléctrico.xlsx;847203;OK
AR-5.0338.Pr.42_F-15 Montaje de joint box y tableros.xlsx;845217;OK
AR-5.0338.Pr.42_F-17 Registro de canalizaciones soterradas.xlsx;844433;OK
AR-5.0338.Pr.42_F-18 Control tendido eléctrico CONDUIT.xlsx;844726;OK
AR-5.0338.Pr.42_F-21 Registro y Control de Instalación de Malla a Tierra.xlsx;844381;OK
AR-5.0338.Pr.42_F-22 Registro de conexión de puesta a Tierra.xlsx;844686;OK
AR-5.0338.Pr.42_F-24 Medición Sistema PAT equipos y estructuras.xlsx;844942;OK
AR-5.0338.Pr.42_F-30 Acta de liberación de montaje eléctrico.xlsx;844571;OK
AR-5.0338.Pr.49_F-01 Torque uniones bridadas.xlsx;790927;OK
